# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
2940 0.0171726 0.0686584 0.176816 0.99906
2950 0.0168512 0.067938 0.174408 0.999058
2960 0.0165333 0.0672453 0.172046 0.999055
2970 0.0162182 0.066578 0.169728 0.999053
2980 0.0159049 0.0659334 0.167456 0.999051
2990 0.0155927 0.0653091 0.16523 0.999047
3000 0.0152809 0.0647027 0.163049 0.999045
3010 0.0149692 0.0641128 0.160915 0.99904
3020 0.0146574 0.0635377 0.158827 0.999033
3030 0.0143457 0.0629763 0.156785 0.999033
3040 0.0140345 0.0624273 0.15479 0.99903
3050 0.0137246 0.061889 0.15284 0.999024
3060 0.0134167 0.0613599 0.150937 0.999026
3070 0.0131119 0.0608376 0.14908 0.99902
3080 0.0128111 0.0603198 0.147272 0.999019
3090 0.0125152 0.0598038 0.145513 0.999015
3100 0.0122251 0.059287 0.143806 0.999011
3110 0.0119412 0.0587669 0.142152 0.999006
3120 0.011664 0.0582407 0.140551 0.999004
3130 0.0113934 0.0577062 0.139002 0.999002
3140 0.0111291 0.0571611 0.137505 0.998999
3150 0.0108705 0.056603 0.136056 0.998996
3160 0.0106169 0.0560299 0.134654 0.99899
3170 0.0103674 0.0554399 0.133296 0.998986
3180 0.0101211 0.0548315 0.131982 0.998983
3190 0.00987717 0.0542035 0.130711 0.998982
3200 0.00963518 0.053555 0.129484 0.998977
3210 0.00939494 0.0528856 0.128301 0.998973
3220 0.00915664 0.0521953 0.127161 0.998973
3230 0.00892083 0.0514843 0.12606 0.99897
3240 0.00868836 0.0507532 0.124993 0.998964
3250 0.0084603 0.0500033 0.123952 0.998961
3260 0.0082378 0.049236 0.122928 0.998959
3270 0.00802202 0.0484535 0.121909 0.998956
3280 0.00781398 0.0476585 0.120887 0.998948
3290 0.00761455 0.0468538 0.119852 0.998948
3300 0.00742429 0.0460428 0.118797 0.998945
3310 0.00724353 0.0452288 0.11772 0.998943
3320 0.00707225 0.0444147 0.116619 0.998938
3330 0.00691018 0.0436035 0.115494 0.998936
3340 0.00675679 0.0427976 0.114348 0.998933
3350 0.00661132 0.0419987 0.113186 0.998928
3360 0.00647282 0.0412085 0.112012 0.998924
3370 0.00634018 0.040428 0.110832 0.998922
3380 0.00621219 0.0396582 0.109649 0.998916
3390 0.00608758 0.0388997 0.108471 0.998916
3400 0.00596513 0.0381525 0.1073 0.998914
3410 0.00584376 0.0374169 0.106143 0.998912
