# x y rho R
70 5 6.48223e-06 1
71 5 6.66916e-06 1
72 5 6.86169e-06 1
73 5 7.07888e-06 1
74 5 7.30933e-06 1
75 5 7.56821e-06 1
76 5 7.85374e-06 1
77 5 8.19094e-06 1
78 5 8.57772e-06 1
79 5 9.049e-06 1
80 5 9.6126e-06 1
81 5 1.03288e-05 1
82 5 1.12712e-05 1
83 5 1.25719e-05 1
84 5 1.43174e-05 1
85 5 1.64745e-05 1
86 5 1.88543e-05 1
87 5 2.11368e-05 1
88 5 2.29794e-05 1
89 5 2.40265e-05 1
90 5 2.39674e-05 1
91 5 2.26682e-05 1
92 5 2.05536e-05 1
93 5 1.85865e-05 1
94 5 1.83591e-05 1
95 5 2.14589e-05 1
96 5 2.79218e-05 1
97 5 3.49569e-05 1
98 5 3.87367e-05 1
99 5 3.79427e-05 1
100 5 3.55732e-05 1
101 5 3.56141e-05 1
102 5 4.01012e-05 1
103 5 5.28243e-05 1
104 5 7.80976e-05 1
105 5 0.000113294 1
106 5 0.000148476 1
107 5 0.000173269 1
108 5 0.000178514 1
109 5 0.00017069 1
110 5 0.000159061 1
111 5 0.000141384 1
112 5 0.000119116 1
113 5 9.41433e-05 1
114 5 7.5618e-05 1
115 5 8.66725e-05 1
116 5 0.000137661 1
117 5 0.000184732 1
118 5 0.000178151 1
119 5 0.00013021 1
120 5 8.57374e-05 1
121 5 7.40479e-05 1
122 5 9.41416e-05 1
123 5 0.000135322 1
124 5 0.000199822 1
125 5 0.000282637 1
126 5 0.000351276 1
127 5 0.000430058 1
0 6 0.000381448 1
1 6 0.000445403 1
2 6 0.000419919 1
3 6 0.000333861 1
4 6 0.000283547 1
5 6 0.000253884 1
6 6 0.000217905 1
7 6 0.000171198 1
8 6 0.000125456 1
9 6 8.95264e-05 1
10 6 5.98667e-05 1
11 6 3.95425e-05 1
12 6 2.66103e-05 1
13 6 1.78942e-05 1
14 6 1.17895e-05 1
15 6 8.01437e-06 1
16 6 6.84014e-06 1
17 6 7.09593e-06 1
18 6 8.12979e-06 1
19 6 9.35597e-06 1
20 6 9.91566e-06 1
21 6 1.00128e-05 1
22 6 1.02748e-05 1
23 6 1.05377e-05 1
24 6 1.02556e-05 1
