# R rho
1 0.000118882
1 0.000111105
1 8.22828e-05
1 4.84186e-05
1 4.05067e-05
1 6.88207e-05
1 0.000107594
1 0.000138472
1 0.000164354
1 0.000189867
1 0.000208923
1 0.000217925
1 0.00021746
1 0.000207511
1 0.000194361
1 0.000177358
1 0.000149889
1 0.000116553
1 9.86048e-05
1 9.24614e-05
1 5.82301e-05
1 7.37406e-05
1 9.86714e-05
1 0.000151213
1 0.00022377
1 0.000235598
1 0.000211189
1 0.000207774
1 0.0001993
1 0.000174031
1 0.000137732
1 0.000101505
1 7.06245e-05
1 4.5869e-05
1 2.91311e-05
1 1.77191e-05
1 9.61237e-06
1 4.57038e-06
1 2.18084e-06
1 2.17497e-06
1 3.87777e-06
1 6.40844e-06
1 9.21772e-06
1 1.20713e-05
1 1.46766e-05
1 1.70624e-05
1 1.86771e-05
1 1.93089e-05
1 1.91916e-05
1 1.84084e-05
1 1.76087e-05
1 1.71683e-05
1 1.65734e-05
1 1.47031e-05
1 1.16164e-05
1 8.33644e-06
1 5.84712e-06
1 4.48793e-06
1 3.98132e-06
1 3.84943e-06
1 3.68954e-06
1 3.3686e-06
1 2.8912e-06
1 2.43851e-06
1 2.11543e-06
1 1.98297e-06
1 2.0567e-06
1 2.33114e-06
1 2.67778e-06
1 2.99477e-06
1 3.25651e-06
1 3.50118e-06
1 3.72362e-06
1 3.92362e-06
1 4.09719e-06
1 4.27027e-06
1 4.4583e-06
1 4.67206e-06
1 4.90213e-06
1 5.1296e-06
1 5.3387e-06
1 5.52703e-06
1 5.69136e-06
1 5.83497e-06
1 5.9585e-06
1 6.06271e-06
1 6.14755e-06
1 6.20771e-06
1 6.24506e-06
1 6.26005e-06
1 6.25334e-06
1 6.22814e-06
1 6.18765e-06
1 6.13727e-06
1 6.0803e-06
1 6.037e-06
1 6.01745e-06
1 6.06879e-06
1 6.24126e-06
1 6.6439e-06
1 7.40557e-06
1 8.74518e-06
1 1.0861e-05
1 1.39639e-05
1 1.80918e-05
1 2.31126e-05
1 2.85665e-05
1 3.39745e-05
1 3.8792e-05
1 4.26682e-05
1 4.52046e-05
1 4.66234e-05
1 4.76816e-05
1 4.95118e-05
1 5.26086e-05
1 5.71333e-05
1 6.2826e-05
1 6.99632e-05
1 7.88394e-05
1 9.01111e-05
1 0.000104964
1 0.000123298
1 0.000142389
1 0.00015435
1 0.000154056
1 0.00014743
1 0.000151934
1 0.000156033
1 0.000141678
1 0.000101878
1 5.43762e-05
1 3.6015e-05
1 4.83739e-05
1 7.09003e-05
1 8.84543e-05
1 0.000106205
1 0.000131366
1 0.000160711
1 0.000182905
1 0.000190777
1 0.000190406
1 0.000190768
1 0.000189258
1 0.000176698
1 0.000143082
1 9.60196e-05
1 6.09472e-05
1 5.18508e-05
1 2.75773e-05
1 3.89541e-05
1 6.32092e-05
1 0.000100695
1 0.000173051
1 0.000235853
1 0.000222118
1 0.000204548
1 0.000206579
1 0.000193704
1 0.000162607
1 0.000122886
1 8.81368e-05
1 5.74338e-05
1 3.47037e-05
1 2.01702e-05
1 1.11558e-05
1 5.94863e-06
1 3.29055e-06
1 2.66082e-06
1 3.48923e-06
1 5.58427e-06
1 8.61928e-06
1 1.16411e-05
1 1.43423e-05
1 1.63042e-05
1 1.72434e-05
1 1.74394e-05
1 1.77764e-05
1 1.86965e-05
1 1.94565e-05
1 1.95456e-05
1 1.9335e-05
1 1.92806e-05
1 1.85842e-05
1 1.63289e-05
1 1.2809e-05
1 9.2323e-06
1 6.55031e-06
1 5.04668e-06
1 4.39524e-06
1 4.13916e-06
1 3.95501e-06
1 3.73373e-06
1 3.57025e-06
1 3.59341e-06
1 3.74756e-06
1 3.9425e-06
1 4.15365e-06
1 4.38647e-06
1 4.58267e-06
1 4.73662e-06
1 4.86847e-06
1 5.02966e-06
1 5.21655e-06
1 5.41969e-06
1 5.58939e-06
1 5.72408e-06
1 5.81478e-06
1 5.89181e-06
1 5.95689e-06
1 6.03244e-06
1 6.10334e-06
1 6.18365e-06
1 6.2575e-06
1 6.3392e-06
1 6.41348e-06
1 6.4936e-06
1 6.56572e-06
1 6.644e-06
1 6.7091e-06
1 6.77323e-06
1 6.81564e-06
1 6.8603e-06
1 6.89326e-06
1 6.94505e-06
1 7.03545e-06
1 7.24567e-06
1 7.66695e-06
1 8.48446e-06
1 9.89571e-06
1 1.21343e-05
1 1.53481e-05
1 1.96075e-05
1 2.48464e-05
1 3.09632e-05
1 3.77237e-05
1 4.47068e-05
1 5.12888e-05
1 5.70754e-05
1 6.19417e-05
1 6.58077e-05
1 6.82692e-05
1 6.92531e-05
1 6.93154e-05
1 6.93647e-05
1 6.98107e-05
1 7.11931e-05
1 7.4922e-05
1 8.44443e-05
1 0.000101486
1 0.000124785
1 0.000149601
1 0.000167154
1 0.000169393
1 0.000168323
1 0.000164842
