# Dark Energy Evolution Data
# time, w, scale_factor, energy_density, pressure
4.24, 0.999981, 1.52806, 0.00999991, 0.00999972
4.25, 0.999981, 1.52959, 0.00999991, 0.00999972
4.26, 0.999981, 1.53112, 0.00999991, 0.00999971
4.27, 0.999981, 1.53265, 0.0099999, 0.00999971
4.28, 0.999981, 1.53419, 0.0099999, 0.00999971
4.29, 0.999981, 1.53572, 0.0099999, 0.00999971
4.3, 0.999981, 1.53726, 0.0099999, 0.00999971
4.31, 0.999981, 1.53879, 0.0099999, 0.00999971
4.32, 0.99998, 1.54033, 0.0099999, 0.00999971
4.33, 0.99998, 1.54188, 0.0099999, 0.00999971
4.34, 0.99998, 1.54342, 0.0099999, 0.0099997
4.35, 0.99998, 1.54496, 0.0099999, 0.0099997
4.36, 0.99998, 1.54651, 0.0099999, 0.0099997
4.37, 0.99998, 1.54805, 0.0099999, 0.0099997
4.38, 0.99998, 1.5496, 0.0099999, 0.0099997
4.39, 0.99998, 1.55115, 0.0099999, 0.0099997
4.4, 0.99998, 1.55271, 0.0099999, 0.0099997
4.41, 0.99998, 1.55426, 0.0099999, 0.0099997
4.42, 0.99998, 1.55581, 0.0099999, 0.00999969
4.43, 0.999979, 1.55737, 0.0099999, 0.00999969
4.44, 0.999979, 1.55893, 0.0099999, 0.00999969
4.45, 0.999979, 1.56049, 0.0099999, 0.00999969
4.46, 0.999979, 1.56205, 0.0099999, 0.00999969
4.47, 0.999979, 1.56361, 0.0099999, 0.00999969
4.48, 0.999979, 1.56518, 0.0099999, 0.00999969
4.49, 0.999979, 1.56674, 0.00999989, 0.00999968
4.5, 0.999979, 1.56831, 0.00999989, 0.00999968
4.51, 0.999979, 1.56988, 0.00999989, 0.00999968
4.52, 0.999979, 1.57145, 0.00999989, 0.00999968
4.53, 0.999979, 1.57302, 0.00999989, 0.00999968
4.54, 0.999978, 1.5746, 0.00999989, 0.00999968
4.55, 0.999978, 1.57617, 0.00999989, 0.00999968
4.56, 0.999978, 1.57775, 0.00999989, 0.00999967
4.57, 0.999978, 1.57933, 0.00999989, 0.00999967
4.58, 0.999978, 1.58091, 0.00999989, 0.00999967
4.59, 0.999978, 1.58249, 0.00999989, 0.00999967
4.6, 0.999978, 1.58407, 0.00999989, 0.00999967
4.61, 0.999978, 1.58566, 0.00999989, 0.00999967
4.62, 0.999978, 1.58724, 0.00999989, 0.00999967
4.63, 0.999978, 1.58883, 0.00999989, 0.00999966
4.64, 0.999978, 1.59042, 0.00999989, 0.00999966
4.65, 0.999977, 1.59201, 0.00999989, 0.00999966
4.66, 0.999977, 1.59361, 0.00999989, 0.00999966
4.67, 0.999977, 1.5952, 0.00999989, 0.00999966
4.68, 0.999977, 1.5968, 0.00999989, 0.00999966
4.69, 0.999977, 1.59839, 0.00999989, 0.00999966
4.7, 0.999977, 1.59999, 0.00999988, 0.00999965
4.71, 0.999977, 1.60159, 0.00999988, 0.00999965
4.72, 0.999977, 1.6032, 0.00999988, 0.00999965
4.73, 0.999977, 1.6048, 0.00999988, 0.00999965
4.74, 0.999977, 1.60641, 0.00999988, 0.00999965
4.75, 0.999976, 1.60801, 0.00999988, 0.00999965
4.76, 0.999976, 1.60962, 0.00999988, 0.00999965
