# x y B_z phi A'_x A'_y
3 9 0 -1.91915 0.167295 -0.00250733
4 9 0 -1.76174 0.146046 0.00147504
5 9 0 -1.62706 0.124554 0.00412363
6 9 0 -1.51263 0.105037 0.00567037
7 9 0 -1.41699 0.082633 0.00650805
8 9 0 -1.34736 0.0561007 0.00689375
9 9 0 -1.30479 0.0335753 0.00698841
10 9 0 -1.28021 0.0205613 0.00692689
11 9 0 -1.26367 0.0153669 0.00680828
12 9 0 -1.24948 0.0140949 0.00669044
13 9 0 -1.23548 0.0142213 0.0065912
14 9 0 -1.22104 0.0147359 0.00652128
15 9 0 -1.206 0.0153449 0.00648588
16 9 0 -1.19035 0.0159835 0.00648689
17 9 0 -1.17404 0.0166374 0.0065316
18 9 0 -1.15707 0.0172992 0.00662041
19 9 0 -1.13944 0.0179652 0.00676078
20 9 0 -1.12114 0.018628 0.00695229
21 9 0 -1.10218 0.0192841 0.00720215
