# step dp_dt_x dp_dt_y F_x F_y ratio_x ratio_y
23600 -0.185806 0.0964088 3.39983e-07 7.39094e-08 0 0
23700 -0.138079 0.0752087 3.69534e-07 7.39069e-08 0 0
23800 -0.131973 0.0767727 3.3996e-07 7.39043e-08 0 0
23900 -0.130713 0.0885601 3.39948e-07 7.39018e-08 0 0
24000 -0.135555 0.0797138 3.39937e-07 7.38994e-08 0 0
24100 -0.184994 0.0612736 3.69485e-07 7.38969e-08 0 0
24200 -0.256441 0.0624542 8.8673e-08 -1.47788e-08 0 0
24300 -0.271608 0.0710526 8.86702e-08 -1.47784e-08 0 0
24400 -0.215445 0.066349 8.86671e-08 -1.47778e-08 0 0
24500 -0.148169 0.0649357 1.32996e-07 2.95547e-08 0 0
24600 -0.0974731 0.073185 1.32992e-07 2.95537e-08 0 0
24700 -0.0480385 0.069685 1.32987e-07 2.95527e-08 0 0
24800 0.00340652 0.0438175 1.32982e-07 2.95517e-08 0 0
24900 0.0493717 0.0189342 1.32978e-07 2.95506e-08 0 0
25000 0.092535 0.0383968 1.32973e-07 2.95497e-08 0 0
25100 0.140734 0.0881023 1.32969e-07 2.95486e-08 0 0
25200 0.205158 0.112806 1.32964e-07 2.95476e-08 0 0
25300 0.293053 0.10531 5.17066e-07 1.03413e-07 0 0
25400 0.378239 0.115952 5.17048e-07 8.86367e-08 0 0
25500 0.423857 0.155239 5.17031e-07 8.86338e-08 0 0
25600 0.423258 0.163841 2.28962e-06 2.36348e-07 184859 0
25700 0.377554 0.148518 2.33385e-06 2.80653e-07 161773 0
25800 0.311388 0.1577 2.30423e-06 2.80644e-07 135137 0
25900 0.243082 0.175507 8.15317e-06 9.15754e-07 29814.4 0
26000 0.179497 0.163162 8.75847e-06 9.15726e-07 20494.1 0
26100 0.143873 0.127712 9.02402e-06 9.30464e-07 15943.4 0
26200 0.148985 0.0997543 8.4034e-06 9.3043e-07 17729.1 0
26300 0.201138 0.0776596 8.07823e-06 8.86094e-07 24898.7 0
26400 0.287777 0.0546188 4.28412e-05 2.14132e-06 6717.29 25507.1
26500 0.372149 0.0365906 3.76417e-05 2.12648e-06 9886.62 17207.1
26600 0.429945 0.0246277 7.58566e-05 4.63675e-06 5667.86 5311.41
26700 0.471415 0.0103912 0.000185006 6.2904e-06 2548.11 1651.92
26800 0.506735 -0.000469208 0.000300171 4.38541e-06 1688.15 -106.993
26900 0.520714 0.00440598 3.49935e-06 -3.15975e-06 148803 -1394.41
27000 0.512783 0.0187263 0.0517129 0.000222917 9.91597 84.0059
27100 0.495926 0.0239677 0.142537 0.000198239 3.47928 120.903
27200 0.468536 0.0182152 0.0995557 -0.0367164 4.70627 -0.496105
27300 0.425575 0.00699615 0.00186483 -0.00345271 228.211 -2.02628
27400 0.37718 -0.00429153 0.0366707 0.0112432 10.2856 -0.3817
27500 0.336628 -0.00469589 -0.111959 0.0194819 -3.00671 -0.241039
27600 0.290462 -0.00188828 -0.133693 -0.0339518 -2.17261 0.0556163
27700 0.230846 0.0019722 -0.007837 -0.0112622 -29.456 -0.175117
27800 0.165962 0.0074234 -0.0165965 0.00844787 -9.9998 0.878731
