# step E_total KE PE <beta> norm
45500 0.728419 0.237193 0.491226 0.984614 0.984614
45600 0.729396 0.23728 0.492116 0.984581 0.984585
45700 0.729318 0.237258 0.49206 0.984548 0.984544
45800 0.728594 0.237219 0.491374 0.984515 0.984516
45900 0.728113 0.237312 0.490801 0.984478 0.98448
46000 0.729255 0.237442 0.491813 0.984449 0.984447
46100 0.729517 0.23743 0.492087 0.984414 0.984416
46200 0.728871 0.23737 0.491501 0.98438 0.984377
46300 0.728133 0.23743 0.490703 0.984345 0.984349
46400 0.729026 0.237609 0.491418 0.984315 0.984316
46500 0.729661 0.237612 0.492049 0.984281 0.984284
46600 0.728922 0.237545 0.491378 0.98425 0.984247
46700 0.727645 0.237625 0.490019 0.984214 0.984217
46800 0.728565 0.237937 0.490628 0.984179 0.984182
46900 0.729908 0.237962 0.491946 0.984149 0.984147
47000 0.728975 0.237897 0.491079 0.984116 0.984114
47100 0.727008 0.237964 0.489044 0.984087 0.984086
47200 0.727979 0.238444 0.489535 0.984051 0.984052
47300 0.73029 0.238543 0.491747 0.984016 0.98402
47400 0.729783 0.238498 0.491285 0.983986 0.983986
47500 0.728019 0.238465 0.489553 0.983952 0.98395
47600 0.727691 0.238731 0.48896 0.983916 0.983918
47700 0.730234 0.238966 0.491267 0.983887 0.983885
47800 0.730591 0.23896 0.491632 0.983852 0.983852
47900 0.729498 0.238926 0.490572 0.983819 0.983823
48000 0.728245 0.239003 0.489242 0.983785 0.983779
48100 0.729788 0.239338 0.49045 0.983751 0.983755
48200 0.731131 0.239414 0.491717 0.983718 0.983719
48300 0.730361 0.239395 0.490965 0.983684 0.983688
48400 0.729205 0.239426 0.48978 0.983653 0.983653
48500 0.729955 0.239755 0.4902 0.983613 0.983618
48600 0.731593 0.239922 0.491671 0.983585 0.983584
48700 0.731186 0.239898 0.491288 0.983549 0.983548
48800 0.730519 0.239961 0.490558 0.983518 0.983521
48900 0.73089 0.24026 0.49063 0.983483 0.983485
49000 0.73187 0.240315 0.491555 0.98345 0.983447
49100 0.731754 0.240296 0.491458 0.983416 0.983417
49200 0.731085 0.24032 0.490765 0.983382 0.983381
49300 0.730685 0.240682 0.490004 0.983349 0.983347
