# Time series data
# step mean_R std_R mean_psi_density max_psi_density
347 0.608576 0.234771 1.65865e-05 0.0161038
348 0.609297 0.234817 1.65865e-05 0.0161038
349 0.610023 0.234853 1.66505e-05 0.0161755
350 0.610744 0.2349 1.66505e-05 0.0161755
351 0.611462 0.234949 1.66505e-05 0.0161755
352 0.612189 0.234968 1.66505e-05 0.0161755
353 0.612902 0.235009 1.66505e-05 0.0161755
354 0.613615 0.235052 1.66505e-05 0.0161755
355 0.614333 0.235078 1.66505e-05 0.0161755
356 0.61504 0.235127 1.66505e-05 0.0161755
357 0.615751 0.235164 1.66505e-05 0.0161755
358 0.616457 0.2352 1.66505e-05 0.0161755
359 0.617166 0.235231 1.67164e-05 0.0163631
360 0.617875 0.235251 1.67164e-05 0.0163631
361 0.618582 0.235277 1.67164e-05 0.0163631
362 0.619287 0.235295 1.67164e-05 0.0163631
363 0.619977 0.235344 1.67164e-05 0.0163631
364 0.620684 0.235362 1.67164e-05 0.0163631
365 0.621377 0.235403 1.67164e-05 0.0163631
366 0.622071 0.235432 1.67164e-05 0.0163631
367 0.622767 0.235454 1.67164e-05 0.0163631
368 0.623464 0.235465 1.67164e-05 0.0163631
369 0.624151 0.235493 1.67842e-05 0.0164528
370 0.624843 0.235513 1.67842e-05 0.0164528
371 0.625529 0.235539 1.67842e-05 0.0164528
372 0.626211 0.235567 1.67842e-05 0.0164528
373 0.6269 0.235582 1.67842e-05 0.0164528
374 0.627581 0.235602 1.67842e-05 0.0164528
375 0.628261 0.235628 1.67842e-05 0.0164528
376 0.628941 0.23564 1.67842e-05 0.0164528
377 0.629618 0.235662 1.67842e-05 0.0164528
378 0.630293 0.235684 1.67842e-05 0.0164528
379 0.630965 0.235707 1.68538e-05 0.0169643
380 0.631637 0.235719 1.68538e-05 0.0169643
381 0.632312 0.235731 1.68538e-05 0.0169643
382 0.632983 0.235738 1.68538e-05 0.0169643
383 0.633653 0.235749 1.68538e-05 0.0169643
384 0.634319 0.235761 1.68538e-05 0.0169643
385 0.634983 0.235776 1.68538e-05 0.0169643
386 0.635644 0.235788 1.68538e-05 0.0169643
387 0.636307 0.235799 1.68538e-05 0.0169643
388 0.636965 0.235813 1.68538e-05 0.0169643
389 0.637621 0.23583 1.69254e-05 0.0175796
390 0.638278 0.235825 1.69254e-05 0.0175796
391 0.638937 0.235824 1.69254e-05 0.0175796
392 0.639586 0.235849 1.69254e-05 0.0175796
393 0.640242 0.235843 1.69254e-05 0.0175796
394 0.640889 0.235857 1.69254e-05 0.0175796
395 0.641544 0.235841 1.69254e-05 0.0175796
396 0.642183 0.23586 1.69254e-05 0.0175796
397 0.642832 0.235858 1.69254e-05 0.0175796
398 0.643472 0.235867 1.69254e-05 0.0175796
399 0.644115 0.235867 1.69989e-05 0.0181479
400 0.644759 0.235861 1.69989e-05 0.0181479
401 0.645396 0.235865 1.69989e-05 0.0181479
402 0.64603 0.235871 1.69989e-05 0.0181479
403 0.64667 0.235859 1.69989e-05 0.0181479
404 0.647301 0.235861 1.69989e-05 0.0181479
405 0.647931 0.235866 1.69989e-05 0.0181479
406 0.648562 0.23586 1.69989e-05 0.0181479
407 0.649192 0.235859 1.69989e-05 0.0181479
408 0.649821 0.235847 1.69989e-05 0.0181479
409 0.650442 0.235858 1.70743e-05 0.0186465
410 0.651073 0.23583 1.70743e-05 0.0186465
411 0.651699 0.235814 1.70743e-05 0.0186465
412 0.652318 0.235819 1.70743e-05 0.0186465
413 0.652939 0.235806 1.70743e-05 0.0186465
414 0.653553 0.235805 1.70743e-05 0.0186465
415 0.654172 0.235791 1.70743e-05 0.0186465
416 0.65479 0.235771 1.70743e-05 0.0186465
417 0.655401 0.235766 1.70743e-05 0.0186465
418 0.656012 0.235757 1.70743e-05 0.0186465
419 0.656621 0.235756 1.71517e-05 0.0190542
420 0.657232 0.235735 1.71517e-05 0.0190542
421 0.657836 0.235723 1.71517e-05 0.0190542
422 0.658442 0.235716 1.71517e-05 0.0190542
423 0.659046 0.235693 1.71517e-05 0.0190542
424 0.659648 0.235684 1.71517e-05 0.0190542
425 0.660252 0.235666 1.71517e-05 0.0190542
426 0.660847 0.235652 1.71517e-05 0.0190542
427 0.661442 0.235649 1.71517e-05 0.0190542
428 0.662038 0.235631 1.71517e-05 0.0190542
429 0.662634 0.23561 1.72311e-05 0.0193522
430 0.663231 0.235577 1.72311e-05 0.0193522
431 0.663822 0.235567 1.72311e-05 0.0193522
432 0.664415 0.235532 1.72311e-05 0.0193522
433 0.665002 0.235522 1.72311e-05 0.0193522
434 0.665581 0.23552 1.72311e-05 0.0193522
435 0.666171 0.235485 1.72311e-05 0.0193522
436 0.666752 0.235471 1.72311e-05 0.0193522
437 0.667333 0.23545 1.72311e-05 0.0193522
438 0.667919 0.235415 1.72311e-05 0.0193522
439 0.668495 0.235397 1.73126e-05 0.0195256
440 0.669067 0.235393 1.73126e-05 0.0195256
441 0.669652 0.235345 1.73126e-05 0.0195256
442 0.67022 0.235338 1.73126e-05 0.0195256
443 0.670801 0.235287 1.73126e-05 0.0195256
444 0.671368 0.235283 1.73126e-05 0.0195256
445 0.671936 0.235255 1.73126e-05 0.0195256
446 0.672505 0.235228 1.73126e-05 0.0195256
447 0.673073 0.235198 1.73126e-05 0.0195256
448 0.673634 0.235184 1.73126e-05 0.0195256
449 0.6742 0.235149 1.7396e-05 0.0195645
450 0.674764 0.235119 1.7396e-05 0.0195645
451 0.675323 0.235085 1.7396e-05 0.0195645
452 0.675883 0.235061 1.7396e-05 0.0195645
453 0.676441 0.235034 1.7396e-05 0.0195645
454 0.676995 0.23501 1.7396e-05 0.0195645
455 0.677552 0.234971 1.7396e-05 0.0195645
456 0.678106 0.234929 1.7396e-05 0.0195645
457 0.678651 0.234924 1.7396e-05 0.0195645
458 0.679205 0.234882 1.7396e-05 0.0195645
459 0.679759 0.234839 1.74816e-05 0.0202078
460 0.680302 0.23481 1.74816e-05 0.0202078
461 0.680845 0.234783 1.74816e-05 0.0202078
462 0.681394 0.23473 1.74816e-05 0.0202078
463 0.681928 0.234731 1.74816e-05 0.0202078
464 0.682476 0.234673 1.74816e-05 0.0202078
465 0.683015 0.234634 1.74816e-05 0.0202078
466 0.683552 0.234614 1.74816e-05 0.0202078
467 0.684092 0.234574 1.74816e-05 0.0202078
468 0.684626 0.234534 1.74816e-05 0.0202078
469 0.685159 0.2345 1.75694e-05 0.0211154
470 0.685689 0.234474 1.75694e-05 0.0211154
471 0.68622 0.234432 1.75694e-05 0.0211154
472 0.686754 0.234376 1.75694e-05 0.0211154
473 0.687287 0.23433 1.75694e-05 0.0211154
474 0.687806 0.234317 1.75694e-05 0.0211154
475 0.688337 0.234252 1.75694e-05 0.0211154
476 0.688855 0.23423 1.75694e-05 0.0211154
477 0.689379 0.234191 1.75694e-05 0.0211154
478 0.689902 0.234145 1.75694e-05 0.0211154
479 0.690413 0.23413 1.76593e-05 0.0219184
480 0.690931 0.234081 1.76593e-05 0.0219184
481 0.691447 0.234045 1.76593e-05 0.0219184
482 0.691966 0.23399 1.76593e-05 0.0219184
483 0.692479 0.233944 1.76593e-05 0.0219184
484 0.692992 0.233903 1.76593e-05 0.0219184
485 0.693505 0.233863 1.76593e-05 0.0219184
486 0.694013 0.233822 1.76593e-05 0.0219184
487 0.694517 0.233797 1.76593e-05 0.0219184
488 0.695027 0.23374 1.76593e-05 0.0219184
489 0.695535 0.233685 1.77514e-05 0.0225778
490 0.696038 0.233642 1.77514e-05 0.0225778
491 0.696539 0.233597 1.77514e-05 0.0225778
492 0.697039 0.233559 1.77514e-05 0.0225778
493 0.697538 0.233514 1.77514e-05 0.0225778
494 0.698033 0.23348 1.77514e-05 0.0225778
495 0.698534 0.233426 1.77514e-05 0.0225778
496 0.699029 0.23337 1.77514e-05 0.0225778
497 0.699522 0.233331 1.77514e-05 0.0225778
498 0.700016 0.233277 1.77514e-05 0.0225778
499 0.700504 0.233241 1.78458e-05 0.0230585
500 0.700997 0.233177 1.78458e-05 0.0230585
501 0.701487 0.233126 1.78458e-05 0.0230585
502 0.701973 0.23308 1.78458e-05 0.0230585
503 0.702455 0.233053 1.78458e-05 0.0230585
