# Time series data
# step mean_R std_R mean_psi_density max_psi_density
471 0.68622 0.234432 1.52588e-05 0.0185597
472 0.686754 0.234376 1.52588e-05 0.0185597
473 0.687287 0.23433 1.52588e-05 0.0185597
474 0.687806 0.234317 1.52588e-05 0.0185597
475 0.688337 0.234252 1.52588e-05 0.0185597
476 0.688855 0.234231 1.52588e-05 0.0185597
477 0.689379 0.234191 1.52588e-05 0.0185597
478 0.689902 0.234145 1.52588e-05 0.0185597
479 0.690413 0.23413 1.52588e-05 0.018835
480 0.690931 0.23408 1.52588e-05 0.018835
481 0.691447 0.234044 1.52588e-05 0.018835
482 0.691966 0.23399 1.52588e-05 0.018835
483 0.692479 0.233944 1.52588e-05 0.018835
484 0.692992 0.233903 1.52588e-05 0.018835
485 0.693505 0.233863 1.52588e-05 0.018835
486 0.694013 0.233822 1.52588e-05 0.018835
487 0.694517 0.233797 1.52588e-05 0.018835
488 0.695027 0.23374 1.52588e-05 0.018835
489 0.695536 0.233685 1.52588e-05 0.0190244
490 0.696038 0.233642 1.52588e-05 0.0190244
491 0.696539 0.233597 1.52588e-05 0.0190244
492 0.697039 0.233558 1.52588e-05 0.0190244
493 0.697538 0.233514 1.52588e-05 0.0190244
494 0.698033 0.23348 1.52588e-05 0.0190244
495 0.698534 0.233425 1.52588e-05 0.0190244
496 0.699029 0.23337 1.52588e-05 0.0190244
497 0.699522 0.233332 1.52588e-05 0.0190244
498 0.700016 0.233277 1.52588e-05 0.0190244
499 0.700504 0.233241 1.52588e-05 0.0191196
500 0.700997 0.233177 1.52588e-05 0.0191196
501 0.701487 0.233126 1.52588e-05 0.0191196
502 0.701973 0.23308 1.52588e-05 0.0191196
503 0.702455 0.233053 1.52588e-05 0.0191196
504 0.702939 0.233011 1.52588e-05 0.0191196
505 0.703425 0.232949 1.52588e-05 0.0191196
506 0.703905 0.232903 1.52588e-05 0.0191196
507 0.704389 0.232831 1.52588e-05 0.0191196
508 0.704864 0.232802 1.52588e-05 0.0191196
509 0.705341 0.232754 1.52588e-05 0.0191151
510 0.705823 0.232681 1.52588e-05 0.0191151
511 0.706294 0.232643 1.52588e-05 0.0191151
512 0.706767 0.23259 1.52588e-05 0.0191151
513 0.70724 0.232534 1.52588e-05 0.0191151
514 0.707711 0.23248 1.52588e-05 0.0191151
515 0.708182 0.232427 1.52588e-05 0.0191151
516 0.708651 0.232373 1.52588e-05 0.0191151
517 0.709118 0.23233 1.52588e-05 0.0191151
518 0.709576 0.232293 1.52588e-05 0.0191151
519 0.710044 0.232228 1.52588e-05 0.0190086
520 0.710508 0.232169 1.52588e-05 0.0190086
521 0.710968 0.232108 1.52588e-05 0.0190086
522 0.711428 0.232067 1.52588e-05 0.0190086
523 0.71189 0.232004 1.52588e-05 0.0190086
524 0.712349 0.231953 1.52588e-05 0.0190086
525 0.712804 0.231895 1.52588e-05 0.0190086
526 0.713258 0.231841 1.52588e-05 0.0190086
527 0.713716 0.231774 1.52588e-05 0.0190086
528 0.714164 0.231737 1.52588e-05 0.0190086
529 0.714616 0.231683 1.52588e-05 0.0188015
